n_datasets	n_subjects	release_dates
2	33.0	2016-10-12
6	91.0	2016-10-13
6	128.0	2016-10-14
2	54.0	2016-10-17
1	99.0	2016-10-25
1	8.0	2016-11-07
2	66.0	2016-11-08
1	24.0	2016-12-15
1	10.0	2017-06-19
1	17.0	2017-07-25
1	1.0	2017-08-01
2	99.0	2017-08-22
1	217.0	2017-08-23
2	43.0	2017-08-24
1	1.0	2017-08-26
2	81.0	2017-08-28
1	14.0	2017-08-29
3	132.0	2017-09-04
2	112.0	2017-09-12
1	26.0	2017-09-18
1	19.0	2017-09-19
1	10.0	2017-09-20
1	155.0	2017-09-21
2	22.0	2017-09-23
2	133.0	2017-09-24
1	3.0	2017-09-25
1	59.0	2017-09-26
1	28.0	2017-09-28
1	0.0	2017-10-03
1	37.0	2017-10-13
2	70.0	2017-10-30
1	24.0	2017-11-08
1	22.0	2017-11-30
1	23.0	2017-12-07
1	30.0	2018-02-02
3	89.0	2018-02-06
4	117.0	2018-02-12
1	21.0	2018-02-15
1	18.0	2018-02-16
1	12.0	2018-02-19
1	24.0	2018-02-23
1	52.0	2018-02-24
1	79.0	2018-02-28
1	5.0	2018-03-01
1	43.0	2018-03-02
1	21.0	2018-03-05
1	13.0	2018-03-07
1	19.0	2018-03-08
1	6.0	2018-03-09
4	28.0	2018-03-13
3	151.0	2018-03-14
1	34.0	2018-03-16
1	272.0	2018-03-19
1	7.0	2018-03-20
1	33.0	2018-03-21
3	360.0	2018-03-23
2	61.0	2018-03-26
2	72.0	2018-03-27
1	35.0	2018-03-28
8	268.0	2018-03-29
5	35.0	2018-03-30
1	26.0	2018-04-04
1	22.0	2018-04-19
1	14.0	2018-04-20
1	15.0	2018-04-27
1	33.0	2018-05-02
1	18.0	2018-05-06
1	1.0	2018-05-09
1	35.0	2018-05-12
1	25.0	2018-05-22
1	42.0	2018-05-29
1	6.0	2018-06-13
1	52.0	2018-06-22
1	36.0	2018-07-03
1	1.0	2018-07-05
2	3.0	2018-07-09
1	31.0	2018-07-24
1	18.0	2018-07-26
1	2.0	2018-08-01
1	24.0	2018-08-02
1	81.0	2018-08-05
1	37.0	2018-08-12
1	132.0	2018-08-22
1	20.0	2018-08-30
2	14.0	2018-09-04
1	3.0	2018-09-07
2	44.0	2018-09-10
1	24.0	2018-09-18
1	41.0	2018-09-20
1	17.0	2018-09-26
1	38.0	2018-10-01
1	42.0	2018-10-08
2	46.0	2018-10-10
1	5.0	2018-10-11
1	34.0	2018-10-14
2	26.0	2018-10-15
1	3.0	2018-10-16
1	1.0	2018-10-23
1	36.0	2018-10-29
1	32.0	2018-11-08
1	2.0	2018-11-13
1	1.0	2018-11-16
1	20.0	2018-11-19
1	1.0	2018-11-24
1	32.0	2018-12-03
1	24.0	2018-12-06
1	31.0	2018-12-07
1	36.0	2018-12-12
1	20.0	2018-12-14
2	35.0	2018-12-31
